Unnamed: 0,pickup_time,pickup_ID,dropoff_ID,distance,pickup_horizontal_idx,pickup_vertical_idx,dropoff_horizontal_idx,dropoff_vertical_idx
29158314,2,4,3,459,3,1,1,1
29158354,7,4,3,459,3,1,1,1
29158355,7,3,2,918,1,1,4,0
29158540,38,1,3,459,2,0,1,1
29159077,130,0,3,459,0,0,1,1
29159111,134,1,3,459,2,0,1,1
29159409,185,4,0,918,3,1,0,0
29159589,216,1,3,459,2,0,1,1
29159703,235,1,3,459,2,0,1,1
29160186,315,1,4,459,2,0,3,1
29160600,388,1,3,459,2,0,1,1
29160631,393,3,1,459,1,1,2,0
29161311,501,4,1,459,3,1,2,0
29161420,523,1,2,459,2,0,4,0
29162740,739,4,1,459,3,1,2,0
29163404,850,2,3,918,4,0,1,1
29163775,908,4,0,918,3,1,0,0
29164880,1097,4,0,918,3,1,0,0
29165526,1202,4,2,459,3,1,4,0
29165639,1221,0,4,918,0,0,3,1
29166413,1347,2,4,459,4,0,3,1
29167666,1556,2,1,459,4,0,2,0
29167786,1577,4,3,459,3,1,1,1
29168075,1629,4,0,918,3,1,0,0
29168193,1651,1,4,459,2,0,3,1
29168656,1727,4,2,459,3,1,4,0
29168835,1759,2,4,459,4,0,3,1
29169618,1902,2,4,459,4,0,3,1
29169799,1932,1,4,459,2,0,3,1
29170288,2023,3,1,459,1,1,2,0
29170463,2047,2,4,459,4,0,3,1
29170627,2076,0,4,918,0,0,3,1
29171192,2185,4,2,459,3,1,4,0
29171253,2194,3,1,459,1,1,2,0
29171393,2222,4,1,459,3,1,2,0
29171446,2231,0,1,459,0,0,2,0
29171784,2292,4,1,459,3,1,2,0
29172086,2347,3,4,459,1,1,3,1
29172762,2461,1,4,459,2,0,3,1
29173363,2573,4,2,459,3,1,4,0
29173469,2592,4,0,918,3,1,0,0
29173768,2642,3,1,459,1,1,2,0
29174379,2747,0,4,918,0,0,3,1
29174413,2754,3,1,459,1,1,2,0
29175038,2870,3,1,459,1,1,2,0
29175307,2916,3,4,459,1,1,3,1
29175465,2945,2,1,459,4,0,2,0
29175600,2970,4,2,459,3,1,4,0
29175983,3036,4,1,459,3,1,2,0
29176302,3090,2,4,459,4,0,3,1
29176323,3093,3,1,459,1,1,2,0
29176370,3102,4,1,459,3,1,2,0
29176563,3136,2,0,918,4,0,0,0
29177218,3260,4,1,459,3,1,2,0
29177596,3325,2,0,918,4,0,0,0
29177671,3339,4,1,459,3,1,2,0
29177859,3378,3,1,459,1,1,2,0
29178183,3435,2,1,459,4,0,2,0
29178427,3478,4,1,459,3,1,2,0
29178604,3510,4,1,459,3,1,2,0
29178857,3558,4,1,459,3,1,2,0
