Unnamed: 0,pickup_time,pickup_ID,dropoff_ID,distance,pickup_horizontal_idx,pickup_vertical_idx,dropoff_horizontal_idx,dropoff_vertical_idx
8350009,32,1,3,459,2,0,1,1
8350090,45,2,1,459,4,0,2,0
8350828,162,0,4,918,0,0,3,1
8351100,206,4,1,459,3,1,2,0
8352161,374,0,2,918,0,0,4,0
8352955,499,4,0,918,3,1,0,0
8354731,787,0,4,918,0,0,3,1
8355345,879,4,1,459,3,1,2,0
8355481,900,3,2,918,1,1,4,0
8355581,917,4,3,459,3,1,1,1
8355944,973,4,1,459,3,1,2,0
8356208,1012,2,4,459,4,0,3,1
8356251,1019,3,2,918,1,1,4,0
8357013,1141,4,0,918,3,1,0,0
8358110,1312,4,3,459,3,1,1,1
8358486,1376,4,1,459,3,1,2,0
8358700,1411,4,0,918,3,1,0,0
8358719,1415,4,2,459,3,1,4,0
8359026,1463,4,1,459,3,1,2,0
8359174,1489,1,0,459,2,0,0,0
8359983,1618,4,3,459,3,1,1,1
8360212,1655,4,1,459,3,1,2,0
8360362,1679,1,2,459,2,0,4,0
8360853,1754,4,0,918,3,1,0,0
8360899,1761,0,4,918,0,0,3,1
8361015,1781,4,2,459,3,1,4,0
8361266,1824,4,0,918,3,1,0,0
8362298,1992,3,2,918,1,1,4,0
8362379,2006,4,1,459,3,1,2,0
8362847,2078,4,0,918,3,1,0,0
8363417,2176,1,0,459,2,0,0,0
8363705,2222,3,4,459,1,1,3,1
8363823,2243,4,1,459,3,1,2,0
8365083,2451,3,4,459,1,1,3,1
8365410,2509,3,2,918,1,1,4,0
8365504,2524,0,4,918,0,0,3,1
8365885,2588,0,1,459,0,0,2,0
8365912,2592,0,4,918,0,0,3,1
8365935,2596,0,1,459,0,0,2,0
8366111,2623,0,4,918,0,0,3,1
8366185,2634,4,0,918,3,1,0,0
8366683,2716,3,4,459,1,1,3,1
8367193,2799,2,4,459,4,0,3,1
8367969,2927,3,1,459,1,1,2,0
8368340,2990,0,3,459,0,0,1,1
8368375,2994,3,1,459,1,1,2,0
8368517,3019,1,4,459,2,0,3,1
8368604,3032,3,1,459,1,1,2,0
8369428,3169,4,1,459,3,1,2,0
8369448,3172,3,1,459,1,1,2,0
8369522,3185,4,1,459,3,1,2,0
8369793,3231,3,2,918,1,1,4,0
8369846,3240,3,4,459,1,1,3,1
8369885,3245,0,2,918,0,0,4,0
8370219,3303,3,2,918,1,1,4,0
8370524,3357,4,3,459,3,1,1,1
8370896,3422,3,4,459,1,1,3,1
8371142,3463,2,4,459,4,0,3,1
