Unnamed: 0,pickup_time,pickup_ID,dropoff_ID,distance,pickup_horizontal_idx,pickup_vertical_idx,dropoff_horizontal_idx,dropoff_vertical_idx
24478983,2,0,2,918,0,0,4,0
24479287,58,1,4,459,2,0,3,1
24479367,73,0,4,918,0,0,3,1
24479917,182,3,4,459,1,1,3,1
24479962,191,0,4,918,0,0,3,1
24480456,283,4,0,918,3,1,0,0
24480760,338,4,3,459,3,1,1,1
24480822,352,2,1,459,4,0,2,0
24482440,651,1,3,459,2,0,1,1
24482837,725,0,1,459,0,0,2,0
24482988,750,3,2,918,1,1,4,0
24483650,870,3,1,459,1,1,2,0
24483799,897,1,3,459,2,0,1,1
24484200,973,4,1,459,3,1,2,0
24485023,1122,4,2,459,3,1,4,0
24485153,1145,0,1,459,0,0,2,0
24485159,1145,0,4,918,0,0,3,1
24485929,1287,2,4,459,4,0,3,1
24486105,1321,1,2,459,2,0,4,0
24487045,1496,4,1,459,3,1,2,0
24488616,1798,3,4,459,1,1,3,1
24488939,1863,0,2,918,0,0,4,0
24489000,1877,0,4,918,0,0,3,1
24489245,1924,0,1,459,0,0,2,0
24489836,2041,0,4,918,0,0,3,1
24489866,2047,3,1,459,1,1,2,0
24490667,2204,4,0,918,3,1,0,0
24490722,2213,4,1,459,3,1,2,0
24490844,2236,3,2,918,1,1,4,0
24491265,2316,4,1,459,3,1,2,0
24491651,2398,0,4,918,0,0,3,1
24492012,2472,2,4,459,4,0,3,1
24492259,2527,3,2,918,1,1,4,0
24492383,2550,4,1,459,3,1,2,0
24492423,2558,0,4,918,0,0,3,1
24492770,2630,4,2,459,3,1,4,0
24493850,2841,3,1,459,1,1,2,0
24494631,2998,0,4,918,0,0,3,1
24494639,2999,3,4,459,1,1,3,1
24494775,3023,4,2,459,3,1,4,0
24494978,3058,4,1,459,3,1,2,0
24495134,3088,3,4,459,1,1,3,1
24495178,3096,2,4,459,4,0,3,1
24495447,3152,2,4,459,4,0,3,1
24495467,3156,0,4,918,0,0,3,1
24496184,3300,3,2,918,1,1,4,0
24496231,3309,2,4,459,4,0,3,1
24496329,3328,2,4,459,4,0,3,1
24496339,3330,2,1,459,4,0,2,0
24496607,3387,2,4,459,4,0,3,1
24497044,3483,0,1,459,0,0,2,0
24497103,3497,0,3,459,0,0,1,1
