Unnamed: 0,pickup_time,pickup_ID,dropoff_ID,distance,pickup_horizontal_idx,pickup_vertical_idx,dropoff_horizontal_idx,dropoff_vertical_idx
14023661,53,4,3,459,3,1,1,1
14024106,125,4,0,918,3,1,0,0
14024163,134,4,0,918,3,1,0,0
14024726,229,3,1,459,1,1,2,0
14024759,235,2,4,459,4,0,3,1
14024955,265,4,1,459,3,1,2,0
14025034,280,3,1,459,1,1,2,0
14025381,338,0,4,918,0,0,3,1
14025418,344,4,1,459,3,1,2,0
14025895,420,4,2,459,3,1,4,0
14025942,427,2,3,918,4,0,1,1
14026354,496,0,3,459,0,0,1,1
14026537,523,2,4,459,4,0,3,1
14027413,665,4,2,459,3,1,4,0
14028876,901,1,2,459,2,0,4,0
14029216,960,3,0,459,1,1,0,0
14030291,1141,1,4,459,2,0,3,1
14030464,1170,2,1,459,4,0,2,0
14030929,1245,3,2,918,1,1,4,0
14031619,1358,1,4,459,2,0,3,1
14031924,1407,4,0,918,3,1,0,0
14031973,1414,4,1,459,3,1,2,0
14032105,1435,0,2,918,0,0,4,0
14032317,1470,4,3,459,3,1,1,1
14032483,1499,0,4,918,0,0,3,1
14033697,1705,4,1,459,3,1,2,0
14034060,1769,2,4,459,4,0,3,1
14034174,1789,2,4,459,4,0,3,1
14034330,1819,3,1,459,1,1,2,0
14034455,1841,0,4,918,0,0,3,1
14034540,1858,4,1,459,3,1,2,0
14034548,1860,4,1,459,3,1,2,0
14034836,1910,4,2,459,3,1,4,0
14034955,1931,4,0,918,3,1,0,0
14035022,1945,1,3,459,2,0,1,1
14035077,1955,0,2,918,0,0,4,0
14035200,1974,1,2,459,2,0,4,0
14035714,2057,2,4,459,4,0,3,1
14036036,2121,2,4,459,4,0,3,1
14036438,2186,4,1,459,3,1,2,0
14036679,2226,1,3,459,2,0,1,1
14037003,2281,2,0,918,4,0,0,0
14037504,2365,2,4,459,4,0,3,1
14037567,2376,1,0,459,2,0,0,0
14037889,2433,2,0,918,4,0,0,0
14038104,2470,2,1,459,4,0,2,0
14038148,2478,3,4,459,1,1,3,1
14038320,2507,2,0,918,4,0,0,0
14038802,2589,2,4,459,4,0,3,1
14038910,2610,0,1,459,0,0,2,0
14039186,2657,3,4,459,1,1,3,1
14039406,2696,4,0,918,3,1,0,0
14039967,2793,4,2,459,3,1,4,0
14040166,2822,1,2,459,2,0,4,0
14040346,2853,4,1,459,3,1,2,0
14040838,2935,4,2,459,3,1,4,0
14041150,2988,2,1,459,4,0,2,0
14041202,2998,3,4,459,1,1,3,1
14041513,3047,4,1,459,3,1,2,0
14041992,3130,3,4,459,1,1,3,1
14042279,3179,4,1,459,3,1,2,0
14042834,3277,2,4,459,4,0,3,1
14042890,3289,4,1,459,3,1,2,0
14043123,3333,4,1,459,3,1,2,0
14043457,3394,0,1,459,0,0,2,0
14043749,3443,2,1,459,4,0,2,0
14044280,3539,4,1,459,3,1,2,0
14044281,3539,1,3,459,2,0,1,1
14044409,3568,3,1,459,1,1,2,0
14044478,3577,0,3,459,0,0,1,1
14044504,3580,3,1,459,1,1,2,0
14044596,3597,0,4,918,0,0,3,1
