Unnamed: 0,pickup_time,pickup_ID,dropoff_ID,distance,pickup_horizontal_idx,pickup_vertical_idx,dropoff_horizontal_idx,dropoff_vertical_idx
73047556,23,4,0,918,3,1,0,0
73047987,102,1,3,459,2,0,1,1
73048152,133,4,3,459,3,1,1,1
73048755,248,4,3,459,3,1,1,1
73049709,417,4,1,459,3,1,2,0
73050062,485,4,0,918,3,1,0,0
73050613,586,1,3,459,2,0,1,1
73050782,618,0,4,918,0,0,3,1
73050783,618,2,1,459,4,0,2,0
73051260,698,2,4,459,4,0,3,1
73051494,744,1,4,459,2,0,3,1
73051607,764,0,4,918,0,0,3,1
73051684,776,0,3,459,0,0,1,1
73051761,792,0,4,918,0,0,3,1
73052316,885,4,0,918,3,1,0,0
73052384,899,0,2,918,0,0,4,0
73052820,982,1,4,459,2,0,3,1
73053512,1105,4,1,459,3,1,2,0
73053593,1118,4,1,459,3,1,2,0
73053830,1161,4,1,459,3,1,2,0
73054596,1308,4,1,459,3,1,2,0
73054639,1317,3,2,918,1,1,4,0
73055042,1393,0,4,918,0,0,3,1
73055227,1428,1,4,459,2,0,3,1
73055425,1464,0,4,918,0,0,3,1
73055426,1464,0,1,459,0,0,2,0
73055511,1479,4,0,918,3,1,0,0
73055694,1516,0,4,918,0,0,3,1
73055891,1550,4,0,918,3,1,0,0
73056362,1638,4,1,459,3,1,2,0
73056527,1667,4,1,459,3,1,2,0
73056606,1683,1,4,459,2,0,3,1
73056882,1734,3,1,459,1,1,2,0
73056889,1737,4,0,918,3,1,0,0
73057265,1806,4,1,459,3,1,2,0
73057940,1938,4,1,459,3,1,2,0
73058026,1956,3,4,459,1,1,3,1
73058304,2012,4,0,918,3,1,0,0
73058538,2051,4,1,459,3,1,2,0
73059258,2196,0,4,918,0,0,3,1
73060876,2527,4,1,459,3,1,2,0
73061343,2627,4,1,459,3,1,2,0
73061465,2648,0,1,459,0,0,2,0
73062751,2896,0,4,918,0,0,3,1
73062926,2928,0,4,918,0,0,3,1
73062934,2930,3,4,459,1,1,3,1
73062978,2939,3,4,459,1,1,3,1
73063022,2947,3,1,459,1,1,2,0
73063282,2992,3,1,459,1,1,2,0
73063534,3047,3,1,459,1,1,2,0
73063943,3133,4,0,918,3,1,0,0
73064100,3164,3,1,459,1,1,2,0
73064133,3171,2,1,459,4,0,2,0
73064220,3185,0,3,459,0,0,1,1
73064421,3226,2,1,459,4,0,2,0
73064576,3256,0,3,459,0,0,1,1
73064744,3289,3,1,459,1,1,2,0
73065313,3400,3,2,918,1,1,4,0
73065521,3436,1,4,459,2,0,3,1
73066091,3553,2,0,918,4,0,0,0
73066181,3572,3,4,459,1,1,3,1
