Unnamed: 0,pickup_time,pickup_ID,dropoff_ID,distance,pickup_horizontal_idx,pickup_vertical_idx,dropoff_horizontal_idx,dropoff_vertical_idx
76879222,178,3,1,459,1,1,2,0
76879752,280,4,2,459,3,1,4,0
76879815,291,0,3,459,0,0,1,1
76879884,304,4,0,918,3,1,0,0
76880201,366,2,0,918,4,0,0,0
76880337,390,2,4,459,4,0,3,1
76881420,581,0,3,459,0,0,1,1
76882424,763,4,0,918,3,1,0,0
76882679,806,4,3,459,3,1,1,1
76883111,883,4,3,459,3,1,1,1
76883264,909,4,2,459,3,1,4,0
76883568,969,3,4,459,1,1,3,1
76883635,981,4,2,459,3,1,4,0
76885807,1361,1,2,459,2,0,4,0
76886542,1498,3,2,918,1,1,4,0
76886744,1533,0,4,918,0,0,3,1
76887404,1662,4,0,918,3,1,0,0
76887422,1666,1,3,459,2,0,1,1
76887573,1694,4,2,459,3,1,4,0
76887753,1724,4,1,459,3,1,2,0
76888324,1831,2,4,459,4,0,3,1
76888472,1857,0,4,918,0,0,3,1
76888706,1898,0,3,459,0,0,1,1
76888832,1925,3,2,918,1,1,4,0
76889424,2043,0,1,459,0,0,2,0
76889508,2059,0,1,459,0,0,2,0
76889798,2116,2,3,918,4,0,1,1
76889867,2129,3,4,459,1,1,3,1
76890015,2157,0,4,918,0,0,3,1
76890034,2159,3,2,918,1,1,4,0
76890146,2178,0,3,459,0,0,1,1
76890461,2241,2,4,459,4,0,3,1
76891197,2385,0,4,918,0,0,3,1
76892073,2543,2,4,459,4,0,3,1
76892254,2577,4,0,918,3,1,0,0
76892489,2620,3,2,918,1,1,4,0
76892690,2657,3,1,459,1,1,2,0
76892949,2702,0,3,459,0,0,1,1
76893104,2725,1,4,459,2,0,3,1
76893266,2755,0,4,918,0,0,3,1
76893405,2775,4,1,459,3,1,2,0
76893536,2799,3,2,918,1,1,4,0
76894067,2893,3,4,459,1,1,3,1
76894224,2925,0,2,918,0,0,4,0
76894611,2998,4,1,459,3,1,2,0
76894832,3039,1,3,459,2,0,1,1
76894985,3071,0,4,918,0,0,3,1
76895177,3107,4,1,459,3,1,2,0
76895178,3108,3,2,918,1,1,4,0
76895285,3127,0,2,918,0,0,4,0
76895287,3128,3,4,459,1,1,3,1
76895507,3174,4,1,459,3,1,2,0
76895642,3201,0,2,918,0,0,4,0
76895829,3236,3,1,459,1,1,2,0
76896055,3283,4,2,459,3,1,4,0
76896242,3321,2,1,459,4,0,2,0
76896587,3389,4,1,459,3,1,2,0
76896736,3419,3,4,459,1,1,3,1
76896882,3448,1,4,459,2,0,3,1
76896908,3453,2,4,459,4,0,3,1
76897534,3573,0,2,918,0,0,4,0
