Unnamed: 0,pickup_time,pickup_ID,dropoff_ID,distance,pickup_horizontal_idx,pickup_vertical_idx,dropoff_horizontal_idx,dropoff_vertical_idx
46249466,143,2,0,918,4,0,0,0
46250090,277,0,4,918,0,0,3,1
46250106,281,4,0,918,3,1,0,0
46250762,410,0,4,918,0,0,3,1
46251642,586,0,4,918,0,0,3,1
46252141,690,0,1,459,0,0,2,0
46252557,774,1,4,459,2,0,3,1
46252592,782,0,4,918,0,0,3,1
46252887,841,2,3,918,4,0,1,1
46252983,859,0,2,918,0,0,4,0
46253196,903,0,3,459,0,0,1,1
46254901,1230,0,3,459,0,0,1,1
46255530,1354,4,0,918,3,1,0,0
46256594,1570,2,1,459,4,0,2,0
46257161,1680,2,0,918,4,0,0,0
46258424,1949,4,1,459,3,1,2,0
46258759,2023,0,2,918,0,0,4,0
46258841,2041,4,0,918,3,1,0,0
46258991,2071,2,4,459,4,0,3,1
46259242,2124,3,1,459,1,1,2,0
46259349,2145,2,4,459,4,0,3,1
46259694,2219,0,3,459,0,0,1,1
46259886,2256,4,1,459,3,1,2,0
46260000,2277,3,4,459,1,1,3,1
46260222,2327,3,0,459,1,1,0,0
46260565,2399,3,4,459,1,1,3,1
46260648,2417,0,4,918,0,0,3,1
46260709,2430,0,1,459,0,0,2,0
46261349,2575,1,3,459,2,0,1,1
46261657,2639,3,2,918,1,1,4,0
46262046,2725,3,4,459,1,1,3,1
46263283,2977,0,4,918,0,0,3,1
46263336,2988,0,2,918,0,0,4,0
46263563,3039,0,3,459,0,0,1,1
46263627,3050,0,4,918,0,0,3,1
46263846,3102,4,0,918,3,1,0,0
46263936,3120,1,0,459,2,0,0,0
46264211,3180,4,2,459,3,1,4,0
46264814,3317,1,2,459,2,0,4,0
46264816,3317,3,1,459,1,1,2,0
46265355,3437,0,4,918,0,0,3,1
46265842,3551,3,0,459,1,1,0,0
46265902,3566,0,2,918,0,0,4,0
46265967,3577,4,1,459,3,1,2,0
46265983,3581,0,2,918,0,0,4,0
