Unnamed: 0,pickup_time,pickup_ID,dropoff_ID,distance,pickup_horizontal_idx,pickup_vertical_idx,dropoff_horizontal_idx,dropoff_vertical_idx
56658478,49,0,1,459,0,0,2,0
56660192,400,3,0,459,1,1,0,0
56661674,682,3,4,459,1,1,3,1
56662469,837,4,0,918,3,1,0,0
56663623,1069,0,2,918,0,0,4,0
56665013,1332,4,0,918,3,1,0,0
56665229,1377,0,3,459,0,0,1,1
56665827,1496,0,4,918,0,0,3,1
56667644,1860,4,1,459,3,1,2,0
56667679,1871,2,3,918,4,0,1,1
56668252,1996,4,2,459,3,1,4,0
56668620,2075,3,4,459,1,1,3,1
56668923,2145,4,3,459,3,1,1,1
56669167,2197,0,4,918,0,0,3,1
56669251,2217,4,0,918,3,1,0,0
56669728,2316,3,1,459,1,1,2,0
56669880,2345,0,4,918,0,0,3,1
56670313,2438,0,1,459,0,0,2,0
56670377,2455,2,4,459,4,0,3,1
56671110,2617,3,2,918,1,1,4,0
56671189,2632,3,1,459,1,1,2,0
56672545,2921,3,2,918,1,1,4,0
56673199,3064,0,1,459,0,0,2,0
56673335,3095,0,1,459,0,0,2,0
56674216,3292,4,2,459,3,1,4,0
56674309,3312,1,2,459,2,0,4,0
56675071,3471,3,1,459,1,1,2,0
56675460,3555,4,2,459,3,1,4,0
