Unnamed: 0,pickup_time,pickup_ID,dropoff_ID,distance,pickup_horizontal_idx,pickup_vertical_idx,dropoff_horizontal_idx,dropoff_vertical_idx
50116710,45,4,0,918,3,1,0,0
50117130,120,0,4,918,0,0,3,1
50117230,140,2,0,918,4,0,0,0
50117560,201,4,0,918,3,1,0,0
50118782,416,2,4,459,4,0,3,1
50118856,428,1,4,459,2,0,3,1
50118961,448,3,1,459,1,1,2,0
50119554,551,0,1,459,0,0,2,0
50121016,807,4,0,918,3,1,0,0
50121194,836,4,0,918,3,1,0,0
50121801,941,4,0,918,3,1,0,0
50122198,1012,3,2,918,1,1,4,0
50122459,1056,2,4,459,4,0,3,1
50122899,1134,4,0,918,3,1,0,0
50123342,1215,1,4,459,2,0,3,1
50123855,1306,4,2,459,3,1,4,0
50123926,1321,2,4,459,4,0,3,1
50124145,1363,1,4,459,2,0,3,1
50124265,1384,1,4,459,2,0,3,1
50124661,1454,0,1,459,0,0,2,0
50125113,1538,0,2,918,0,0,4,0
50125262,1569,0,1,459,0,0,2,0
50125610,1630,3,1,459,1,1,2,0
50125777,1665,1,4,459,2,0,3,1
50126202,1744,3,4,459,1,1,3,1
50126637,1829,3,2,918,1,1,4,0
50126680,1837,2,4,459,4,0,3,1
50126959,1892,3,0,459,1,1,0,0
50126989,1899,4,1,459,3,1,2,0
50127172,1932,0,1,459,0,0,2,0
50127697,2033,1,4,459,2,0,3,1
50128176,2125,0,4,918,0,0,3,1
50128890,2261,0,1,459,0,0,2,0
50129469,2371,3,4,459,1,1,3,1
50129498,2377,2,4,459,4,0,3,1
50129964,2463,0,3,459,0,0,1,1
50131409,2737,3,4,459,1,1,3,1
50131720,2793,3,1,459,1,1,2,0
50131956,2836,4,2,459,3,1,4,0
50132723,2990,3,1,459,1,1,2,0
50133076,3059,0,4,918,0,0,3,1
50133171,3074,4,1,459,3,1,2,0
50133773,3191,3,1,459,1,1,2,0
50133790,3193,2,3,918,4,0,1,1
50134121,3260,2,0,918,4,0,0,0
50134127,3262,0,1,459,0,0,2,0
50134375,3311,3,4,459,1,1,3,1
50134464,3329,0,2,918,0,0,4,0
50134709,3377,3,1,459,1,1,2,0
50134989,3432,4,1,459,3,1,2,0
50135034,3440,4,2,459,3,1,4,0
