Unnamed: 0,pickup_time,pickup_ID,dropoff_ID,distance,pickup_horizontal_idx,pickup_vertical_idx,dropoff_horizontal_idx,dropoff_vertical_idx
77191358,54,0,1,459,0,0,2,0
77191617,95,4,3,459,3,1,1,1
77192026,173,4,2,459,3,1,4,0
77192329,227,4,1,459,3,1,2,0
77192713,298,4,3,459,3,1,1,1
77193130,374,4,0,918,3,1,0,0
77193157,378,4,3,459,3,1,1,1
77193212,388,1,3,459,2,0,1,1
77193341,412,0,4,918,0,0,3,1
77193381,420,2,0,918,4,0,0,0
77193575,458,4,2,459,3,1,4,0
77193876,516,2,0,918,4,0,0,0
77194165,567,0,3,459,0,0,1,1
77194490,621,1,3,459,2,0,1,1
77195034,711,3,2,918,1,1,4,0
77195237,746,2,4,459,4,0,3,1
77195538,799,2,0,918,4,0,0,0
77196274,937,4,1,459,3,1,2,0
77196303,942,0,4,918,0,0,3,1
77196607,995,4,0,918,3,1,0,0
77196675,1007,2,1,459,4,0,2,0
77196790,1028,3,2,918,1,1,4,0
77197406,1149,0,4,918,0,0,3,1
77197533,1172,1,4,459,2,0,3,1
77197541,1174,3,2,918,1,1,4,0
77197858,1232,2,4,459,4,0,3,1
77198732,1388,0,4,918,0,0,3,1
77199100,1458,3,1,459,1,1,2,0
77199257,1485,0,4,918,0,0,3,1
77199313,1495,0,2,918,0,0,4,0
77199790,1583,4,0,918,3,1,0,0
77199921,1609,4,1,459,3,1,2,0
77200211,1667,2,4,459,4,0,3,1
77200234,1671,0,2,918,0,0,4,0
77200251,1674,2,1,459,4,0,2,0
77200389,1697,4,1,459,3,1,2,0
77200684,1753,3,1,459,1,1,2,0
77200998,1815,0,3,459,0,0,1,1
77201366,1884,4,1,459,3,1,2,0
77201429,1894,0,1,459,0,0,2,0
77201443,1896,3,1,459,1,1,2,0
77201585,1920,4,3,459,3,1,1,1
77201763,1956,0,1,459,0,0,2,0
77201935,1985,3,2,918,1,1,4,0
77202097,2017,4,0,918,3,1,0,0
77202234,2044,0,2,918,0,0,4,0
77202565,2104,0,3,459,0,0,1,1
77203042,2199,0,3,459,0,0,1,1
77203050,2201,2,1,459,4,0,2,0
77203055,2203,3,4,459,1,1,3,1
77203120,2215,4,1,459,3,1,2,0
77203368,2264,1,3,459,2,0,1,1
77203545,2298,0,4,918,0,0,3,1
77203560,2302,0,4,918,0,0,3,1
77203924,2367,4,2,459,3,1,4,0
77203993,2379,2,4,459,4,0,3,1
77204196,2419,3,1,459,1,1,2,0
77204389,2459,4,1,459,3,1,2,0
77204433,2467,4,2,459,3,1,4,0
77204532,2486,2,4,459,4,0,3,1
77204948,2566,4,3,459,3,1,1,1
77204967,2570,3,4,459,1,1,3,1
77205158,2606,2,0,918,4,0,0,0
77205684,2709,2,4,459,4,0,3,1
77206113,2797,0,1,459,0,0,2,0
77206136,2801,4,1,459,3,1,2,0
77206167,2807,3,1,459,1,1,2,0
77206609,2896,3,1,459,1,1,2,0
77207086,2988,3,1,459,1,1,2,0
77207419,3046,2,3,918,4,0,1,1
77207720,3097,0,2,918,0,0,4,0
77207882,3124,2,0,918,4,0,0,0
77208315,3203,3,1,459,1,1,2,0
77208322,3205,2,4,459,4,0,3,1
77208476,3229,0,4,918,0,0,3,1
77208773,3284,4,3,459,3,1,1,1
77208949,3322,0,3,459,0,0,1,1
77208982,3328,1,4,459,2,0,3,1
77209233,3371,1,4,459,2,0,3,1
77209288,3384,0,1,459,0,0,2,0
77209497,3426,0,1,459,0,0,2,0
77209952,3507,4,1,459,3,1,2,0
77210174,3552,3,1,459,1,1,2,0
77210310,3578,0,4,918,0,0,3,1
77210315,3578,3,2,918,1,1,4,0
77210382,3591,2,1,459,4,0,2,0
