Unnamed: 0,pickup_time,pickup_ID,dropoff_ID,distance,pickup_horizontal_idx,pickup_vertical_idx,dropoff_horizontal_idx,dropoff_vertical_idx
56360981,16,1,2,459,2,0,4,0
56361221,68,3,1,459,1,1,2,0
56362765,385,3,1,459,1,1,2,0
56363720,572,3,1,459,1,1,2,0
56363928,616,0,2,918,0,0,4,0
56364992,823,3,0,459,1,1,0,0
56366214,1064,1,4,459,2,0,3,1
56366345,1091,2,4,459,4,0,3,1
56366589,1142,0,4,918,0,0,3,1
56367710,1359,1,4,459,2,0,3,1
56368540,1531,3,4,459,1,1,3,1
56368553,1532,3,1,459,1,1,2,0
56368932,1616,2,1,459,4,0,2,0
56369158,1665,2,0,918,4,0,0,0
56369587,1764,3,1,459,1,1,2,0
56370251,1904,2,4,459,4,0,3,1
56370342,1921,0,4,918,0,0,3,1
56371044,2072,1,4,459,2,0,3,1
56371415,2154,4,1,459,3,1,2,0
56372472,2380,0,1,459,0,0,2,0
56372474,2380,4,1,459,3,1,2,0
56372566,2401,0,3,459,0,0,1,1
56372622,2415,3,4,459,1,1,3,1
56372838,2463,2,4,459,4,0,3,1
56372913,2474,3,2,918,1,1,4,0
56372966,2488,2,4,459,4,0,3,1
56373474,2590,0,1,459,0,0,2,0
56373810,2661,4,0,918,3,1,0,0
56374214,2748,3,1,459,1,1,2,0
56374335,2770,0,1,459,0,0,2,0
56374336,2770,3,1,459,1,1,2,0
56375857,3086,0,4,918,0,0,3,1
56376036,3124,2,0,918,4,0,0,0
56376154,3151,3,2,918,1,1,4,0
56376381,3203,0,4,918,0,0,3,1
56376451,3220,2,4,459,4,0,3,1
56377238,3398,0,2,918,0,0,4,0
56377864,3542,3,2,918,1,1,4,0
