Unnamed: 0,pickup_time,pickup_ID,dropoff_ID,distance,pickup_horizontal_idx,pickup_vertical_idx,dropoff_horizontal_idx,dropoff_vertical_idx
68095392,6,1,3,459,2,0,1,1
68095474,21,3,4,459,1,1,3,1
68095759,77,3,2,918,1,1,4,0
68095795,83,2,0,918,4,0,0,0
68095926,109,1,3,459,2,0,1,1
68096447,209,0,4,918,0,0,3,1
68096562,232,0,4,918,0,0,3,1
68097097,331,1,3,459,2,0,1,1
68097299,368,0,2,918,0,0,4,0
68097739,446,1,3,459,2,0,1,1
68097824,460,1,3,459,2,0,1,1
68098146,518,2,1,459,4,0,2,0
68098299,548,4,2,459,3,1,4,0
68098356,559,0,4,918,0,0,3,1
68098668,621,0,3,459,0,0,1,1
68099014,689,1,3,459,2,0,1,1
68099422,764,4,3,459,3,1,1,1
68099790,829,0,1,459,0,0,2,0
68100035,874,1,4,459,2,0,3,1
68100307,920,2,0,918,4,0,0,0
68100451,952,4,0,918,3,1,0,0
68100498,961,4,2,459,3,1,4,0
68100785,1010,0,3,459,0,0,1,1
68101278,1100,3,1,459,1,1,2,0
68102704,1368,4,0,918,3,1,0,0
68102749,1376,2,1,459,4,0,2,0
68104384,1696,4,1,459,3,1,2,0
68104508,1716,3,4,459,1,1,3,1
68104599,1733,2,1,459,4,0,2,0
68105833,1966,0,1,459,0,0,2,0
68106252,2047,4,3,459,3,1,1,1
68106324,2061,3,2,918,1,1,4,0
68106822,2156,0,4,918,0,0,3,1
68107126,2222,3,4,459,1,1,3,1
68107294,2257,0,3,459,0,0,1,1
68107382,2275,4,1,459,3,1,2,0
68107872,2380,4,2,459,3,1,4,0
68107876,2382,1,0,459,2,0,0,0
68108393,2480,4,1,459,3,1,2,0
68108850,2565,4,1,459,3,1,2,0
68110518,2899,4,1,459,3,1,2,0
68110658,2927,3,4,459,1,1,3,1
68110791,2953,3,2,918,1,1,4,0
68112098,3221,0,4,918,0,0,3,1
68112434,3288,4,2,459,3,1,4,0
68112573,3319,2,0,918,4,0,0,0
68112705,3342,4,1,459,3,1,2,0
68113101,3417,3,2,918,1,1,4,0
68113824,3563,2,4,459,4,0,3,1
