Unnamed: 0,pickup_time,pickup_ID,dropoff_ID,distance,pickup_horizontal_idx,pickup_vertical_idx,dropoff_horizontal_idx,dropoff_vertical_idx
10943770,8,3,0,459,1,1,0,0
10944107,61,3,2,918,1,1,4,0
10944304,90,4,1,459,3,1,2,0
10945034,207,2,4,459,4,0,3,1
10945520,282,1,3,459,2,0,1,1
10945914,340,1,4,459,2,0,3,1
10946280,399,4,0,918,3,1,0,0
10946333,407,2,1,459,4,0,2,0
10947309,552,2,4,459,4,0,3,1
10947366,561,4,1,459,3,1,2,0
10947450,572,4,0,918,3,1,0,0
10947835,634,0,3,459,0,0,1,1
10947940,651,0,4,918,0,0,3,1
10947991,658,2,1,459,4,0,2,0
10948988,809,0,2,918,0,0,4,0
10949171,833,1,2,459,2,0,4,0
10949206,838,0,3,459,0,0,1,1
10949209,839,4,1,459,3,1,2,0
10949775,915,1,4,459,2,0,3,1
10950476,1020,0,1,459,0,0,2,0
10951392,1154,2,1,459,4,0,2,0
10952052,1253,2,0,918,4,0,0,0
10952092,1258,2,3,918,4,0,1,1
10953193,1426,4,0,918,3,1,0,0
10953230,1431,2,0,918,4,0,0,0
10953529,1476,1,3,459,2,0,1,1
10953723,1511,2,0,918,4,0,0,0
10953852,1533,0,1,459,0,0,2,0
10954013,1562,0,3,459,0,0,1,1
10954435,1630,3,1,459,1,1,2,0
10955384,1776,4,0,918,3,1,0,0
10955390,1777,4,1,459,3,1,2,0
10955399,1779,4,3,459,3,1,1,1
10956262,1920,4,1,459,3,1,2,0
10956295,1924,4,1,459,3,1,2,0
10956567,1972,2,4,459,4,0,3,1
10956730,1997,4,1,459,3,1,2,0
10956832,2012,4,0,918,3,1,0,0
10956871,2020,0,4,918,0,0,3,1
10956934,2029,0,4,918,0,0,3,1
10957174,2071,3,1,459,1,1,2,0
10957350,2102,1,3,459,2,0,1,1
10957445,2117,0,1,459,0,0,2,0
10958067,2209,4,1,459,3,1,2,0
10958359,2253,4,2,459,3,1,4,0
10958384,2257,2,3,918,4,0,1,1
10958980,2360,4,1,459,3,1,2,0
10959218,2399,0,2,918,0,0,4,0
10959347,2419,3,1,459,1,1,2,0
10959580,2455,2,1,459,4,0,2,0
10959707,2477,4,1,459,3,1,2,0
10959856,2500,0,3,459,0,0,1,1
10960320,2570,0,3,459,0,0,1,1
10960349,2576,4,1,459,3,1,2,0
10960358,2577,2,3,918,4,0,1,1
10960540,2605,0,4,918,0,0,3,1
10961376,2744,0,1,459,0,0,2,0
10961426,2752,3,4,459,1,1,3,1
10961442,2754,4,2,459,3,1,4,0
10961526,2768,1,2,459,2,0,4,0
10961570,2773,4,1,459,3,1,2,0
10961688,2791,2,1,459,4,0,2,0
10961729,2798,0,1,459,0,0,2,0
10961832,2816,3,2,918,1,1,4,0
10962272,2890,3,1,459,1,1,2,0
10962283,2892,4,1,459,3,1,2,0
10962365,2906,0,4,918,0,0,3,1
10962536,2935,0,3,459,0,0,1,1
10962792,2973,0,3,459,0,0,1,1
10962910,2991,4,1,459,3,1,2,0
10963031,3009,4,2,459,3,1,4,0
10963065,3014,2,1,459,4,0,2,0
10963631,3103,0,2,918,0,0,4,0
10963667,3109,1,3,459,2,0,1,1
10964092,3180,2,1,459,4,0,2,0
10964125,3185,4,1,459,3,1,2,0
10964412,3230,2,0,918,4,0,0,0
10964451,3237,1,2,459,2,0,4,0
10964457,3238,3,1,459,1,1,2,0
10965018,3330,4,1,459,3,1,2,0
10965187,3356,3,0,459,1,1,0,0
10965291,3372,4,0,918,3,1,0,0
10965502,3406,3,4,459,1,1,3,1
10966290,3532,0,2,918,0,0,4,0
10966354,3543,0,4,918,0,0,3,1
