Unnamed: 0,pickup_time,pickup_ID,dropoff_ID,distance,pickup_horizontal_idx,pickup_vertical_idx,dropoff_horizontal_idx,dropoff_vertical_idx
52730730,105,0,4,918,0,0,3,1
52730880,139,3,1,459,1,1,2,0
52730973,160,2,3,918,4,0,1,1
52731218,216,3,1,459,1,1,2,0
52731230,219,0,4,918,0,0,3,1
52731376,256,4,0,918,3,1,0,0
52732367,475,0,1,459,0,0,2,0
52733621,754,2,3,918,4,0,1,1
52733927,817,0,3,459,0,0,1,1
52734974,1044,0,1,459,0,0,2,0
52735146,1082,2,4,459,4,0,3,1
52736663,1397,0,4,918,0,0,3,1
52736698,1407,3,0,459,1,1,0,0
52736959,1466,0,3,459,0,0,1,1
52737410,1557,3,4,459,1,1,3,1
52738299,1752,1,4,459,2,0,3,1
52739180,1951,3,1,459,1,1,2,0
52739631,2056,2,0,918,4,0,0,0
52739866,2108,2,4,459,4,0,3,1
52741626,2523,0,4,918,0,0,3,1
52741869,2586,4,2,459,3,1,4,0
52742516,2739,4,2,459,3,1,4,0
52742542,2746,0,2,918,0,0,4,0
52742981,2847,1,2,459,2,0,4,0
52743133,2884,1,2,459,2,0,4,0
52743305,2924,2,1,459,4,0,2,0
52743763,3036,4,0,918,3,1,0,0
52743882,3066,0,4,918,0,0,3,1
52744127,3123,3,1,459,1,1,2,0
