Unnamed: 0,pickup_time,pickup_ID,dropoff_ID,distance,pickup_horizontal_idx,pickup_vertical_idx,dropoff_horizontal_idx,dropoff_vertical_idx
51132308,121,4,1,459,3,1,2,0
51132715,207,3,1,459,1,1,2,0
51133804,424,0,1,459,0,0,2,0
51134372,533,2,4,459,4,0,3,1
51136259,905,3,4,459,1,1,3,1
51136456,943,3,4,459,1,1,3,1
51136465,944,1,3,459,2,0,1,1
51136467,946,4,0,918,3,1,0,0
51137392,1138,4,3,459,3,1,1,1
51137452,1151,4,1,459,3,1,2,0
51137812,1224,2,4,459,4,0,3,1
51137912,1247,0,3,459,0,0,1,1
51139270,1518,2,1,459,4,0,2,0
51139285,1520,4,1,459,3,1,2,0
51139660,1597,2,0,918,4,0,0,0
51139843,1632,0,1,459,0,0,2,0
51139910,1647,4,2,459,3,1,4,0
51140020,1670,2,4,459,4,0,3,1
51140495,1769,0,1,459,0,0,2,0
51141260,1932,0,4,918,0,0,3,1
51141640,2016,0,1,459,0,0,2,0
51142631,2225,3,0,459,1,1,0,0
51142672,2233,2,4,459,4,0,3,1
51143204,2343,4,2,459,3,1,4,0
51143427,2390,3,4,459,1,1,3,1
51143557,2419,4,2,459,3,1,4,0
51143588,2427,1,2,459,2,0,4,0
51144128,2535,4,2,459,3,1,4,0
51144515,2617,1,0,459,2,0,0,0
51144573,2629,3,1,459,1,1,2,0
51144788,2676,1,4,459,2,0,3,1
51145337,2800,2,4,459,4,0,3,1
51145599,2851,2,4,459,4,0,3,1
51145701,2877,1,0,459,2,0,0,0
51145860,2917,3,2,918,1,1,4,0
51146795,3119,4,2,459,3,1,4,0
51146862,3135,0,2,918,0,0,4,0
51147149,3197,0,2,918,0,0,4,0
51147857,3345,1,2,459,2,0,4,0
51147997,3378,4,1,459,3,1,2,0
