Unnamed: 0,pickup_time,pickup_ID,dropoff_ID,distance,pickup_horizontal_idx,pickup_vertical_idx,dropoff_horizontal_idx,dropoff_vertical_idx
26280681,29,4,3,459,3,1,1,1
26280830,53,1,4,459,2,0,3,1
26281099,99,0,4,918,0,0,3,1
26281535,168,0,3,459,0,0,1,1
26281540,170,4,1,459,3,1,2,0
26281638,187,4,3,459,3,1,1,1
26282386,316,1,3,459,2,0,1,1
26282411,320,4,3,459,3,1,1,1
26282911,409,0,3,459,0,0,1,1
26283655,533,4,1,459,3,1,2,0
26283691,542,3,1,459,1,1,2,0
26284812,733,3,4,459,1,1,3,1
26284964,756,3,0,459,1,1,0,0
26285147,784,1,2,459,2,0,4,0
26285188,791,1,0,459,2,0,0,0
26285299,812,3,4,459,1,1,3,1
26285430,834,0,4,918,0,0,3,1
26285484,842,4,0,918,3,1,0,0
26285556,855,2,3,918,4,0,1,1
26285730,885,4,2,459,3,1,4,0
26285758,890,1,4,459,2,0,3,1
26285767,892,4,0,918,3,1,0,0
26285979,930,0,2,918,0,0,4,0
26286550,1026,3,4,459,1,1,3,1
26287427,1179,3,4,459,1,1,3,1
26288661,1392,4,1,459,3,1,2,0
26288754,1408,4,3,459,3,1,1,1
26289041,1460,3,1,459,1,1,2,0
26289781,1592,4,3,459,3,1,1,1
26289915,1616,1,4,459,2,0,3,1
26290010,1631,0,4,918,0,0,3,1
26290360,1696,0,2,918,0,0,4,0
26290363,1697,3,1,459,1,1,2,0
26291107,1830,4,1,459,3,1,2,0
26291412,1878,1,4,459,2,0,3,1
26291565,1905,0,2,918,0,0,4,0
26291922,1970,4,2,459,3,1,4,0
26292127,2006,0,1,459,0,0,2,0
26292144,2009,0,2,918,0,0,4,0
26292336,2041,2,0,918,4,0,0,0
26292395,2052,4,1,459,3,1,2,0
26292810,2127,2,0,918,4,0,0,0
26293062,2174,4,1,459,3,1,2,0
26293216,2199,4,3,459,3,1,1,1
26293398,2231,4,1,459,3,1,2,0
26293632,2268,3,4,459,1,1,3,1
26293642,2269,4,0,918,3,1,0,0
26294055,2341,2,4,459,4,0,3,1
26294441,2406,0,4,918,0,0,3,1
26294558,2428,3,1,459,1,1,2,0
26294561,2428,1,4,459,2,0,3,1
26294752,2459,3,4,459,1,1,3,1
26295329,2548,3,0,459,1,1,0,0
26295509,2580,4,2,459,3,1,4,0
26295710,2613,0,4,918,0,0,3,1
26295797,2627,4,2,459,3,1,4,0
26295905,2646,4,2,459,3,1,4,0
26296645,2768,3,2,918,1,1,4,0
26296647,2768,4,1,459,3,1,2,0
26297123,2857,4,2,459,3,1,4,0
26297503,2921,4,1,459,3,1,2,0
26297622,2941,4,2,459,3,1,4,0
26298036,3014,0,4,918,0,0,3,1
26298380,3069,3,1,459,1,1,2,0
26298590,3105,4,2,459,3,1,4,0
26298778,3133,2,4,459,4,0,3,1
26298787,3135,2,1,459,4,0,2,0
26298798,3138,1,4,459,2,0,3,1
26298891,3154,0,3,459,0,0,1,1
26298994,3175,3,1,459,1,1,2,0
26299177,3205,4,1,459,3,1,2,0
26299392,3239,4,1,459,3,1,2,0
26299417,3242,2,0,918,4,0,0,0
26299610,3276,0,2,918,0,0,4,0
26299642,3282,0,2,918,0,0,4,0
26299728,3296,0,1,459,0,0,2,0
26299748,3300,3,2,918,1,1,4,0
26300152,3366,3,4,459,1,1,3,1
26300240,3381,0,2,918,0,0,4,0
26300414,3413,0,4,918,0,0,3,1
26300470,3423,0,1,459,0,0,2,0
26300562,3438,3,2,918,1,1,4,0
26301021,3514,4,2,459,3,1,4,0
26301057,3519,4,0,918,3,1,0,0
26301094,3525,1,3,459,2,0,1,1
26301234,3550,0,4,918,0,0,3,1
26301329,3570,3,1,459,1,1,2,0
26301455,3589,4,1,459,3,1,2,0
