Unnamed: 0,pickup_time,pickup_ID,dropoff_ID,distance,pickup_horizontal_idx,pickup_vertical_idx,dropoff_horizontal_idx,dropoff_vertical_idx
52067109,43,0,3,459,0,0,1,1
52067166,53,2,0,918,4,0,0,0
52067167,53,4,1,459,3,1,2,0
52067311,83,4,3,459,3,1,1,1
52067471,115,0,4,918,0,0,3,1
52069150,431,0,4,918,0,0,3,1
52069917,568,3,1,459,1,1,2,0
52070162,614,1,4,459,2,0,3,1
52071149,802,4,1,459,3,1,2,0
52071405,845,3,1,459,1,1,2,0
52071872,929,0,4,918,0,0,3,1
52071990,950,3,1,459,1,1,2,0
52072524,1050,4,0,918,3,1,0,0
52072571,1059,1,0,459,2,0,0,0
52074033,1324,1,0,459,2,0,0,0
52074097,1336,0,2,918,0,0,4,0
52074122,1341,3,2,918,1,1,4,0
52074166,1350,3,2,918,1,1,4,0
52074447,1402,4,1,459,3,1,2,0
52075831,1675,0,1,459,0,0,2,0
52076125,1728,3,4,459,1,1,3,1
52076531,1803,1,3,459,2,0,1,1
52076721,1837,4,2,459,3,1,4,0
52077169,1933,1,4,459,2,0,3,1
52077598,2022,0,2,918,0,0,4,0
52077977,2096,2,3,918,4,0,1,1
52078538,2211,2,4,459,4,0,3,1
52079041,2309,2,4,459,4,0,3,1
52080217,2531,3,1,459,1,1,2,0
52080432,2576,4,1,459,3,1,2,0
52080464,2584,3,2,918,1,1,4,0
52080658,2619,4,1,459,3,1,2,0
52080942,2676,3,2,918,1,1,4,0
52081193,2725,0,4,918,0,0,3,1
52081468,2776,4,1,459,3,1,2,0
52081681,2816,0,1,459,0,0,2,0
52081938,2869,4,3,459,3,1,1,1
52083352,3164,1,4,459,2,0,3,1
52084054,3311,0,4,918,0,0,3,1
52084105,3321,4,2,459,3,1,4,0
52084472,3396,1,4,459,2,0,3,1
52084907,3485,3,1,459,1,1,2,0
