Unnamed: 0,pickup_time,pickup_ID,dropoff_ID,distance,pickup_horizontal_idx,pickup_vertical_idx,dropoff_horizontal_idx,dropoff_vertical_idx
26967487,19,1,4,459,2,0,3,1
26968424,176,3,4,459,1,1,3,1
26968654,212,1,3,459,2,0,1,1
26969290,318,4,3,459,3,1,1,1
26969894,409,0,4,918,0,0,3,1
26970191,459,1,2,459,2,0,4,0
26970355,486,2,4,459,4,0,3,1
26970665,536,3,2,918,1,1,4,0
26970977,589,4,0,918,3,1,0,0
26971037,600,1,4,459,2,0,3,1
26973821,1052,0,1,459,0,0,2,0
26973841,1057,2,1,459,4,0,2,0
26973949,1077,0,4,918,0,0,3,1
26974207,1119,3,1,459,1,1,2,0
26975161,1276,3,2,918,1,1,4,0
26975479,1328,4,0,918,3,1,0,0
26975586,1343,4,2,459,3,1,4,0
26975631,1350,4,2,459,3,1,4,0
26975726,1364,3,1,459,1,1,2,0
26976518,1498,4,2,459,3,1,4,0
26976519,1498,0,3,459,0,0,1,1
26976615,1514,4,3,459,3,1,1,1
26976749,1537,2,1,459,4,0,2,0
26977255,1628,4,1,459,3,1,2,0
26977281,1633,3,1,459,1,1,2,0
26977584,1680,4,1,459,3,1,2,0
26978061,1767,1,4,459,2,0,3,1
26979329,1997,0,3,459,0,0,1,1
26979462,2022,3,0,459,1,1,0,0
26979627,2053,0,1,459,0,0,2,0
26980846,2265,2,1,459,4,0,2,0
26981063,2304,0,4,918,0,0,3,1
26981145,2317,0,4,918,0,0,3,1
26981166,2321,4,1,459,3,1,2,0
26981205,2326,2,1,459,4,0,2,0
26981564,2388,0,4,918,0,0,3,1
26981876,2447,0,1,459,0,0,2,0
26981991,2465,4,1,459,3,1,2,0
26983136,2672,2,1,459,4,0,2,0
26983639,2759,0,1,459,0,0,2,0
26983834,2796,3,1,459,1,1,2,0
26983994,2825,4,3,459,3,1,1,1
26985185,3045,3,4,459,1,1,3,1
26985233,3052,4,1,459,3,1,2,0
26985475,3098,2,0,918,4,0,0,0
26985766,3154,4,2,459,3,1,4,0
26985902,3178,4,0,918,3,1,0,0
26986468,3285,2,1,459,4,0,2,0
26986935,3371,0,4,918,0,0,3,1
26986998,3383,1,0,459,2,0,0,0
26987581,3491,0,4,918,0,0,3,1
26987831,3534,0,2,918,0,0,4,0
