Unnamed: 0,pickup_time,pickup_ID,dropoff_ID,distance,pickup_horizontal_idx,pickup_vertical_idx,dropoff_horizontal_idx,dropoff_vertical_idx
73390959,42,2,3,918,4,0,1,1
73392225,294,1,4,459,2,0,3,1
73392809,410,0,4,918,0,0,3,1
73393052,453,3,4,459,1,1,3,1
73393373,508,0,1,459,0,0,2,0
73393808,595,4,3,459,3,1,1,1
73394165,662,2,0,918,4,0,0,0
73395491,911,0,4,918,0,0,3,1
73395499,913,3,4,459,1,1,3,1
73395712,949,2,3,918,4,0,1,1
73396432,1083,1,4,459,2,0,3,1
73396681,1130,3,4,459,1,1,3,1
73396832,1160,1,3,459,2,0,1,1
73397311,1249,3,2,918,1,1,4,0
73397448,1277,4,1,459,3,1,2,0
73397795,1334,0,2,918,0,0,4,0
73398914,1560,2,4,459,4,0,3,1
73398955,1568,4,0,918,3,1,0,0
73399393,1652,2,3,918,4,0,1,1
73399630,1698,0,2,918,0,0,4,0
73399826,1736,4,3,459,3,1,1,1
73400042,1778,4,0,918,3,1,0,0
73400955,1962,3,4,459,1,1,3,1
73401204,2017,4,1,459,3,1,2,0
73401255,2027,2,4,459,4,0,3,1
73401308,2039,2,4,459,4,0,3,1
73401461,2070,4,1,459,3,1,2,0
73401552,2090,3,1,459,1,1,2,0
73401721,2124,3,4,459,1,1,3,1
73401807,2143,4,0,918,3,1,0,0
73402684,2335,4,1,459,3,1,2,0
73402765,2351,3,2,918,1,1,4,0
73403538,2504,3,4,459,1,1,3,1
73403787,2555,2,4,459,4,0,3,1
73404202,2641,4,1,459,3,1,2,0
73404226,2649,0,4,918,0,0,3,1
73404302,2664,3,1,459,1,1,2,0
73405144,2839,0,1,459,0,0,2,0
73405244,2859,3,1,459,1,1,2,0
73406031,3018,1,2,459,2,0,4,0
73406918,3191,4,1,459,3,1,2,0
73406935,3195,3,4,459,1,1,3,1
73407389,3289,1,4,459,2,0,3,1
73407416,3296,2,0,918,4,0,0,0
73407799,3375,0,4,918,0,0,3,1
73407835,3384,4,1,459,3,1,2,0
73407935,3403,0,1,459,0,0,2,0
73408086,3433,4,3,459,3,1,1,1
73408277,3475,2,1,459,4,0,2,0
73408339,3488,4,0,918,3,1,0,0
