Unnamed: 0,pickup_time,pickup_ID,dropoff_ID,distance,pickup_horizontal_idx,pickup_vertical_idx,dropoff_horizontal_idx,dropoff_vertical_idx
35640580,40,4,0,918,3,1,0,0
35641452,187,2,3,918,4,0,1,1
35641481,192,2,4,459,4,0,3,1
35642908,432,0,3,459,0,0,1,1
35643252,492,4,1,459,3,1,2,0
35643416,518,4,1,459,3,1,2,0
35643551,543,1,4,459,2,0,3,1
35643764,578,2,1,459,4,0,2,0
35644833,760,3,1,459,1,1,2,0
35645382,852,4,0,918,3,1,0,0
35645442,862,0,4,918,0,0,3,1
35645948,942,4,1,459,3,1,2,0
35646957,1106,0,4,918,0,0,3,1
35647306,1166,0,2,918,0,0,4,0
35648866,1420,0,3,459,0,0,1,1
35648878,1422,0,4,918,0,0,3,1
35648962,1435,4,1,459,3,1,2,0
35649399,1508,2,4,459,4,0,3,1
35650052,1621,0,2,918,0,0,4,0
35650751,1742,1,3,459,2,0,1,1
35651078,1801,0,4,918,0,0,3,1
35651982,1960,0,1,459,0,0,2,0
35652748,2097,0,3,459,0,0,1,1
35652825,2108,3,0,459,1,1,0,0
35653691,2272,4,2,459,3,1,4,0
35653748,2285,3,1,459,1,1,2,0
35654276,2380,4,0,918,3,1,0,0
35654621,2442,2,4,459,4,0,3,1
35655343,2565,3,4,459,1,1,3,1
35655366,2567,4,3,459,3,1,1,1
35655552,2603,3,1,459,1,1,2,0
35655973,2669,4,2,459,3,1,4,0
35656009,2677,3,4,459,1,1,3,1
35656026,2680,3,1,459,1,1,2,0
35656348,2735,4,0,918,3,1,0,0
35656409,2747,0,1,459,0,0,2,0
35656683,2799,0,1,459,0,0,2,0
35657162,2886,0,4,918,0,0,3,1
35657278,2904,1,3,459,2,0,1,1
35657306,2908,3,4,459,1,1,3,1
35657307,2908,3,4,459,1,1,3,1
35657349,2916,4,2,459,3,1,4,0
35657378,2920,4,1,459,3,1,2,0
35657702,2974,4,0,918,3,1,0,0
35658012,3031,2,3,918,4,0,1,1
35658091,3048,3,2,918,1,1,4,0
35658121,3053,1,3,459,2,0,1,1
35658318,3089,3,1,459,1,1,2,0
35658721,3163,3,0,459,1,1,0,0
35660144,3436,4,1,459,3,1,2,0
35660213,3447,4,2,459,3,1,4,0
