Unnamed: 0,pickup_time,pickup_ID,dropoff_ID,distance,pickup_horizontal_idx,pickup_vertical_idx,dropoff_horizontal_idx,dropoff_vertical_idx
81642526,58,3,1,459,1,1,2,0
81642555,65,1,2,459,2,0,4,0
81642802,124,3,1,459,1,1,2,0
81643622,312,1,4,459,2,0,3,1
81644094,420,1,4,459,2,0,3,1
81644297,463,3,2,918,1,1,4,0
81644665,543,1,3,459,2,0,1,1
81644677,546,4,3,459,3,1,1,1
81645957,824,4,2,459,3,1,4,0
81646232,883,0,3,459,0,0,1,1
81647425,1128,0,1,459,0,0,2,0
81648517,1364,3,1,459,1,1,2,0
81648594,1381,0,1,459,0,0,2,0
81648847,1446,0,4,918,0,0,3,1
81649011,1482,0,1,459,0,0,2,0
81649405,1576,3,4,459,1,1,3,1
81650025,1713,2,3,918,4,0,1,1
81650173,1744,3,2,918,1,1,4,0
81650642,1843,4,1,459,3,1,2,0
81650906,1905,3,2,918,1,1,4,0
81651390,2010,2,4,459,4,0,3,1
81652161,2196,0,4,918,0,0,3,1
81652638,2307,3,4,459,1,1,3,1
81652711,2322,4,3,459,3,1,1,1
81652781,2336,4,2,459,3,1,4,0
81652999,2389,2,4,459,4,0,3,1
81653167,2433,4,2,459,3,1,4,0
81655773,3019,0,3,459,0,0,1,1
81657192,3362,3,2,918,1,1,4,0
81657707,3487,2,4,459,4,0,3,1
81657795,3503,4,3,459,3,1,1,1
