Unnamed: 0,pickup_time,pickup_ID,dropoff_ID,distance,pickup_horizontal_idx,pickup_vertical_idx,dropoff_horizontal_idx,dropoff_vertical_idx
21156108,2,3,1,459,1,1,2,0
21157179,185,0,4,918,0,0,3,1
21157337,211,4,0,918,3,1,0,0
21157501,246,4,3,459,3,1,1,1
21157542,253,1,4,459,2,0,3,1
21157812,293,2,4,459,4,0,3,1
21158578,413,4,0,918,3,1,0,0
21159057,486,2,0,918,4,0,0,0
21159100,491,4,1,459,3,1,2,0
21159615,579,1,3,459,2,0,1,1
21162310,1012,0,4,918,0,0,3,1
21162339,1015,3,1,459,1,1,2,0
21162373,1021,0,4,918,0,0,3,1
21162422,1029,0,4,918,0,0,3,1
21162594,1059,3,1,459,1,1,2,0
21162830,1097,0,4,918,0,0,3,1
21163110,1140,1,4,459,2,0,3,1
21163796,1247,1,3,459,2,0,1,1
21163832,1252,4,0,918,3,1,0,0
21164517,1368,3,1,459,1,1,2,0
21164687,1396,1,3,459,2,0,1,1
21165249,1494,4,0,918,3,1,0,0
21166190,1658,3,2,918,1,1,4,0
21166223,1664,3,4,459,1,1,3,1
21166393,1694,3,1,459,1,1,2,0
21166999,1801,4,3,459,3,1,1,1
21167381,1872,3,2,918,1,1,4,0
21167652,1916,4,0,918,3,1,0,0
21167654,1916,2,1,459,4,0,2,0
21167732,1929,2,3,918,4,0,1,1
21167942,1963,0,1,459,0,0,2,0
21167944,1963,3,4,459,1,1,3,1
21168644,2090,2,4,459,4,0,3,1
21168665,2092,0,1,459,0,0,2,0
21169014,2149,0,4,918,0,0,3,1
21169064,2158,3,1,459,1,1,2,0
21169479,2232,0,4,918,0,0,3,1
21169881,2306,4,2,459,3,1,4,0
21170243,2368,4,1,459,3,1,2,0
21170254,2369,4,2,459,3,1,4,0
21170395,2394,1,4,459,2,0,3,1
21170802,2467,3,4,459,1,1,3,1
21171009,2502,1,4,459,2,0,3,1
21171359,2562,4,3,459,3,1,1,1
21171753,2631,4,1,459,3,1,2,0
21171927,2664,0,3,459,0,0,1,1
21172205,2716,0,3,459,0,0,1,1
21172380,2744,2,3,918,4,0,1,1
21172644,2788,4,1,459,3,1,2,0
21172651,2789,4,1,459,3,1,2,0
21172899,2829,3,4,459,1,1,3,1
21173391,2928,2,0,918,4,0,0,0
21174353,3106,3,4,459,1,1,3,1
21174466,3126,0,4,918,0,0,3,1
21174512,3133,1,3,459,2,0,1,1
21174546,3140,2,4,459,4,0,3,1
21174602,3148,1,4,459,2,0,3,1
21174940,3209,4,2,459,3,1,4,0
21175298,3278,3,1,459,1,1,2,0
21175369,3288,4,1,459,3,1,2,0
21176067,3416,4,0,918,3,1,0,0
21176359,3469,2,1,459,4,0,2,0
21176380,3472,4,1,459,3,1,2,0
21177086,3598,0,4,918,0,0,3,1
