Unnamed: 0,pickup_time,pickup_ID,dropoff_ID,distance,pickup_horizontal_idx,pickup_vertical_idx,dropoff_horizontal_idx,dropoff_vertical_idx
49498740,57,3,2,918,1,1,4,0
49499481,215,4,0,918,3,1,0,0
49499598,240,0,4,918,0,0,3,1
49499704,260,4,2,459,3,1,4,0
49500141,352,1,0,459,2,0,0,0
49502074,738,3,1,459,1,1,2,0
49502553,836,4,1,459,3,1,2,0
49502582,842,0,4,918,0,0,3,1
49502602,847,0,2,918,0,0,4,0
49502665,860,0,2,918,0,0,4,0
49504959,1326,2,1,459,4,0,2,0
49504986,1332,3,1,459,1,1,2,0
49505209,1378,4,3,459,3,1,1,1
49506070,1554,0,1,459,0,0,2,0
49506805,1700,1,4,459,2,0,3,1
49506860,1713,3,4,459,1,1,3,1
49507174,1779,0,4,918,0,0,3,1
49507383,1826,3,0,459,1,1,0,0
49507395,1829,1,2,459,2,0,4,0
49507432,1838,4,1,459,3,1,2,0
49509359,2254,1,0,459,2,0,0,0
49509656,2315,0,4,918,0,0,3,1
49509862,2358,4,1,459,3,1,2,0
49509864,2358,4,0,918,3,1,0,0
49510272,2443,0,2,918,0,0,4,0
49511034,2604,3,1,459,1,1,2,0
49511261,2655,1,0,459,2,0,0,0
49511384,2685,1,3,459,2,0,1,1
49511424,2694,3,2,918,1,1,4,0
49511664,2747,3,2,918,1,1,4,0
49512083,2845,3,2,918,1,1,4,0
49512147,2857,0,2,918,0,0,4,0
49512270,2883,2,4,459,4,0,3,1
49512395,2910,3,1,459,1,1,2,0
49513012,3033,0,4,918,0,0,3,1
49513833,3203,2,0,918,4,0,0,0
49513914,3223,3,1,459,1,1,2,0
49514006,3245,0,4,918,0,0,3,1
49514446,3344,3,4,459,1,1,3,1
49514485,3353,1,4,459,2,0,3,1
49514627,3385,2,4,459,4,0,3,1
49514755,3414,0,4,918,0,0,3,1
49515257,3532,0,1,459,0,0,2,0
49515307,3544,2,4,459,4,0,3,1
49515398,3567,3,1,459,1,1,2,0
